ID,Created At,Discount,Product ID,Quantity,Subtotal,Tax,Total,User ID
1,2019-02-11T21:40:27.892,,14,2,37.648145389078365,2.07,39.718145389078366,1
2,2018-05-15T08:04:04.58,,123,3,110.93145648834248,6.1,117.0376564084763,1
3,2019-12-06T22:22:48.544,6.416679208849759,105,2,52.723521442619514,2.9,55.62208681964182,1
4,2019-08-22T16:30:42.392,,94,6,109.21864156655383,6.01,115.2207354961295,1
5,2018-10-10T03:34:47.309,,132,5,127.88197029833711,7.03,134.94192935296473,1
6,2019-11-06T16:38:50.134,,60,3,29.80214751859149,1.64,31.441679133237017,1
7,2018-09-11T11:22:26.521,,55,5,95.77128575934437,5.27,101.06105102213039,1
8,2019-06-17T02:37:41.693,8.653952930206964,65,7,68.22769726470014,3.75,71.9646003804807,1
9,2017-05-03T16:00:54.923,3.594742155259162,184,3,77.3982748679465,4.26,81.6742695904106,1
10,2020-01-17T01:44:37.233,,6,2,97.43621265344382,5.36,102.77055805103969,1
11,2018-07-22T20:31:01.969,,76,6,63.82421061366486,3.51,67.30535713840213,1
12,2018-06-26T23:21:13.271,,7,7,148.22900526552291,10.19,158.44538230476374,3
13,2019-04-06T01:04:43.973,2.1173410336074987,70,2,57.493003808959784,3.95,61.42339339833593,3
14,2017-05-25T20:50:37.137,,139,4,51.18512212784679,3.52,54.67137322414436,3
15,2018-06-26T02:24:38.715,,116,5,114.42485125407785,7.87,122.30918146348135,3
16,2017-12-14T11:28:30.031,,68,1,76.82895921539838,5.28,82.15964553750338,3
17,2020-02-06T12:14:36.282,,48,1,123.20884248534108,8.47,131.65987891080385,3
18,2020-04-10T23:29:46.804,,12,2,116.01427581618326,7.98,123.93528398902329,3
19,2019-02-14T07:28:31.104,,136,1,105.20402317157343,7.23,112.53044509193751,3
20,2018-04-21T04:18:01.863,9.480671222888349,160,4,47.59120561297272,3.27,50.86583592650371,3
21,2018-05-02T03:57:22.388,,94,5,109.21864156655383,7.51,116.62982729669602,3
22,2019-12-12T21:32:01.533,6.752650070439861,10,1,47.6793282102869,1.38,49.056071014283766,4
23,2019-06-02T11:33:15.096,,85,5,54.90104734428525,1.59,56.5115886738793,4
24,2019-09-20T17:28:38.643,,14,6,37.648145389078365,1.09,38.74860139651864,4
25,2019-12-21T12:23:13.696,,97,2,112.41825444654248,3.26,115.64052715703252,4
26,2018-06-20T02:18:00.254,,40,5,99.66240044231697,3.99,103.57613671689575,5
27,2019-04-28T07:01:15.932,,14,2,37.648145389078365,1.51,39.11528698753412,6
28,2018-05-23T18:15:24.432,9.145059274307002,49,4,131.42865839323724,5.26,136.77951877238795,6
29,2018-03-07T22:56:54.735,,45,1,118.0495173798411,4.72,122.6773063807222,6
30,2019-04-15T12:24:20.17,,179,3,68.32408657333919,2.73,71.02493653936602,6
31,2018-05-22T04:28:04.569,,191,6,128.5841852057933,9.0,137.8019637279584,7
32,2018-06-04T05:11:15.294,,82,7,60.89545738030947,4.26,65.15833624900348,7
33,2019-06-18T11:17:03.676,6.481030997355338,172,4,122.3651993029456,8.57,130.97012158989244,7
34,2019-01-04T21:12:38.428,,3,1,53.08311732230858,3.72,56.80533257859876,7
35,2017-10-10T01:37:18.769,,21,5,40.38334406304544,2.83,43.27836200894579,7
36,2018-07-04T00:34:31.322,,145,4,61.1983004605443,4.28,65.52684708658961,7
37,2017-08-30T12:40:52.641,,17,4,53.290720311951766,3.73,57.008904417553445,7
38,2018-07-25T23:27:34.53,,39,5,114.58158180283459,8.02,122.43499029028857,7
39,2018-05-09T03:09:25.897,,142,4,70.34853057210945,4.92,75.38095754001415,7
40,2019-11-21T23:35:02.479,,101,2,139.82488066180403,9.79,149.7360813013385,7
41,2018-12-04T00:08:37.569,,51,2,75.65058751905018,5.3,81.10438260941211,7
42,2019-11-16T08:11:08.666,,145,3,61.1983004605443,4.28,65.5559297559252,7
43,2019-11-03T20:24:38.219,,193,3,50.38077396807232,3.27,53.70507001111754,8
44,2017-10-01T14:47:29.444,,101,6,93.21658710786936,6.06,99.33443001127412,8
45,2017-09-25T00:11:10.923,,141,5,84.13541698384589,5.47,89.70210897202662,8
46,2018-06-14T03:09:15.751,,8,4,98.83823503993958,6.42,105.27220156289907,8
47,2018-07-06T00:35:40.063,,104,4,106.44215255778118,6.92,113.50392637210302,8
48,2019-05-16T20:17:06.72,,140,5,66.80312547576881,4.34,71.2513752413769,8
49,2019-11-17T09:19:09.682,,157,3,139.8942352373801,9.09,149.0971082279313,8
50,2018-01-01T07:26:31.444,,12,2,116.01427581618326,7.54,123.55572117178238,8
51,2017-12-06T03:46:28.378,,114,2,51.94130981241432,3.38,55.25485080738503,8
52,2018-07-15T23:04:22.325,,34,3,74.30391386913199,4.46,78.65666201120496,9
53,2018-09-15T13:06:14.139,,79,3,41.616917284159726,2.5,44.22580561704055,9
54,2018-10-26T20:41:23.428,7.63762060148704,68,4,115.24343882309758,6.63,122.11637851493803,10
55,2017-08-16T09:51:35.096,,149,5,46.10276691718616,2.65,48.65911128333891,10
56,2016-12-02T08:04:45.937,,109,1,79.36660712128732,4.56,84.05108407223999,10
57,2020-02-05T03:28:52.924,,42,1,38.00410713690931,2.19,40.306509135573634,10
58,2019-03-09T01:05:15.721,,91,1,65.09432810381134,3.74,68.88290318792109,10
59,2019-04-11T18:53:36.645,,71,1,82.80381898788684,4.76,87.53637991989693,10
60,2018-07-10T03:17:28.857,,92,2,124.89242686579996,7.18,132.22951658373907,10
61,2019-09-23T11:07:08.376,,11,3,132.45679913492563,7.62,140.56266342560167,10
62,2018-10-13T19:02:04.952,,198,6,70.14610686710009,4.03,74.17998651599399,10
63,2018-04-14T19:47:06.649,,58,3,78.14578007078882,4.49,82.56808781434164,10
64,2019-02-23T16:13:35.97,,65,2,68.22769726470014,3.92,72.26375031242301,10
65,2018-09-14T23:33:17.679,,53,5,44.27587240151534,2.55,46.731824088077374,10
66,2018-03-30T20:03:22.716,3.4447251023245924,15,1,37.648145389078365,2.16,39.76477470674226,10
67,2018-05-30T05:01:21.334,7.80684729448388,152,5,48.89568729900663,2.81,51.718782977279055,10
68,2019-05-28T14:47:23.973,,25,5,68.62263967182464,2.74,71.36659567437728,12
69,2019-06-28T14:19:18.995,,183,8,56.697412301919755,2.27,59.09276090183358,12
70,2019-11-21T11:21:36.739,,22,3,32.136779940663494,1.29,33.41808399293863,12
71,2017-09-01T11:51:46.788,,161,4,31.727470408648482,1.27,32.940865882868835,12
72,2017-07-18T10:51:55.733,,13,5,75.0861692740371,3.0,78.35146470419957,12
73,2019-08-18T02:49:20.543,,122,7,99.84528328808108,3.99,103.7765084914419,12
74,2020-02-20T00:36:30.807,1.8457579767720553,154,1,81.87529553312261,3.28,85.41374069109672,12
75,2017-04-10T23:33:10.082,,13,2,75.0861692740371,3.0,77.95866140384386,12
76,2016-12-19T19:40:17.782,,185,2,26.384667225677738,1.72,28.098902628941254,15
77,2019-09-27T21:32:36.824,,86,4,92.31436670850246,6.0,98.58295820350527,15
78,2018-05-02T15:42:21.755,,165,5,38.30449564120193,2.49,40.85973188769328,15
79,2018-04-25T15:55:31.477,,49,4,131.42865839323724,8.54,140.31169305624633,15
80,2019-04-15T14:49:30.838,,85,4,54.90104734428525,3.57,58.507615969325414,15
81,2019-10-29T03:41:26.912,6.012432951799443,157,4,139.8942352373801,9.09,148.4688281207464,15
82,2018-01-03T09:10:59.771,,78,2,41.616917284159726,1.66,43.29608695072889,16
83,2018-04-28T18:48:34.862,6.012432951799443,169,3,59.53172693453274,2.38,61.88628596625975,16
84,2019-12-26T14:29:19.631,,183,2,56.697412301919755,2.27,59.12624080633313,16
85,2019-06-05T08:15:20.979,,104,6,106.44215255778118,4.26,110.42056194431119,16
86,2016-06-08T10:56:25.212,,147,6,44.4315141414441,1.78,46.09258624782886,16
87,2019-05-06T01:41:27.086,,17,3,79.93608046792765,3.2,83.30672226118827,16
88,2019-08-10T01:39:40.313,,14,7,37.648145389078365,1.51,39.350134975792805,16
89,2016-08-28T16:44:40.361,,90,7,82.07974183693327,3.28,85.6527010493753,16
90,2016-12-29T08:29:20.559,,87,1,78.17024226998694,3.13,81.0712956941512,16
91,2019-02-18T12:57:11.124,,185,2,39.57700083851661,0.0,39.57663199309648,17
92,2017-03-26T08:45:35.004,,147,1,44.4315141414441,0.0,44.59371986162783,17
93,2017-06-18T11:15:50.035,,15,4,25.09876359271891,0.0,25.175194945524527,17
94,2019-08-01T00:15:06.426,,172,4,122.3651993029456,0.0,122.77616996249728,17
